"","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00404","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00350","1642.MS00532","1642.MS00384","1642.MS00487","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00387","1642.MS00471","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00380","1642.MS00602","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00581","1642.MS00583","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","1642.MS00616","1642.MS00448","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00438","1642.MS00579","1642.MS00440","1642.MS00634","1642.MS00413","1642.MS00557","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0,0.878,1,0.998,0.674,0.784,0.992,0.915,1,0.951,1,1,1,1,0.234,1,1,1,1,0.101,1,1,0.94,0.974,1,1,0.972,1,1,1,0.952,0.288,1,1,1,1,1,1,1,0.978
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.878,0,1,-0.716,0.131,0.998,0.986,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-0.998,-0.352,1,1,-0.992,1,1,1,-0.984,0.998,1,1,1,1,1,1,1,-0.994
"1642.MS00404",1,1,0,1,1,1,1,1,-0.97,1,0.928,-0.992,-0.932,-0.239,1,-0.703,-0.998,-0.397,1,1,1,-0.98,1,1,0.359,0.254,1,-0.077,-0.892,0.018,1,1,-1,-0.238,0.131,-0.893,0.9,-0.523,0.00299999999999989,1
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.998,-0.716,1,0,0.996,1,0.998,-0.794,1,0.54,1,1,1,1,1,1,1,1,0.273,1,1,1,-0.984,1,1,1,-0.888,1,1,1,-0.66,1,1,1,1,1,1,1,1,-0.998
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.674,0.131,1,0.996,0,-0.949,0.984,-0.177,1,-0.811,1,1,1,1,0.863,1,1,1,1,1,1,1,-0.406,-0.294,1,1,0.686,1,1,1,0.216,-0.945,1,1,1,1,1,1,1,-0.253
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.784,0.998,1,1,-0.949,0,1,0.998,1,0.625,1,1,1,1,0.377,1,1,1,1,0.996,1,1,0.988,0.694,1,1,1,1,1,1,0.996,-0.998,1,1,1,1,1,1,1,0.962
"1001.SKD8",0.992,0.986,1,0.998,0.984,1,0,0.938,1,0.894,1,1,1,1,1,1,1,1,1,1,1,1,0.966,0.982,1,1,1,1,1,1,0.996,0.998,1,1,1,1,1,1,1,0.936
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.915,-1,1,-0.794,-0.177,0.998,0.938,0,1,-1,1,1,1,1,0.994,1,1,1,1,1,1,1,-0.998,-0.714,1,1,-1,1,1,1,-1,0.996,1,1,1,1,1,1,1,-1
"1642.MS00539",1,1,-0.97,1,1,1,1,1,0,1,0.988,-1,-0.676,-0.916,1,-0.747,-0.94,-0.835,1,1,1,-0.998,1,1,-0.958,-0.97,1,-0.836,-0.906,-0.571,1,1,-0.988,-0.761,-0.964,-0.984,0.921,-0.723,-0.813,1
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.951,-1,1,0.54,-0.811,0.625,0.894,-1,1,0,1,1,1,1,0.992,1,1,1,1,1,1,1,-0.964,-0.992,1,1,-0.982,1,1,1,-0.989,0.706,1,1,1,1,1,1,1,-0.938
"1642.MS00350",1,1,0.928,1,1,1,1,1,0.988,1,0,0.94,-0.62,1,1,0.812,0.526,0.399,1,1,-1,0.992,1,1,1,1,1,1,0.998,0.942,1,1,0.976,0.05,0.936,0.406,1,0.178,0.9,1
"1642.MS00532",1,1,-0.992,1,1,1,1,1,-1,1,0.94,0,-0.878,-0.942,1,-0.666,-0.992,-0.97,1,1,1,-0.99,1,1,-0.938,-0.942,1,-0.835,-0.952,-0.224,1,1,-0.99,-0.808,-0.986,-0.996,0.942,-0.868,-0.834,1
"1642.MS00384",1,1,-0.932,1,1,1,1,1,-0.676,1,-0.62,-0.878,0,-0.044,1,-0.595,-0.984,-1,1,1,0.572,-0.274,1,1,0.464,0.715,1,0.833,0.591,0.361,1,1,-0.741,-1,-0.252,-1,1,-0.966,-0.49,1
"1642.MS00487",1,1,-0.239,1,1,1,1,1,-0.916,1,1,-0.942,-0.044,0,1,-0.841,-0.778,-0.855,1,1,1,-0.874,1,1,-0.94,-0.953,1,-0.743,-0.63,-0.918,1,1,-0.859,-0.886,-0.86,-0.972,0.996,-0.83,-0.625,1
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.234,1,1,1,0.863,0.377,1,0.994,1,0.992,1,1,1,1,0,1,1,1,1,-0.682,1,1,0.926,0.963,1,1,0.895,1,1,1,0.976,-0.922,1,1,1,1,1,1,1,0.889
"1642.MS00420",1,1,-0.703,1,1,1,1,1,-0.747,1,0.812,-0.666,-0.595,-0.841,1,0,-0.934,-0.271,1,1,0.998,-0.496,1,1,0.232,-0.669,1,0.208,-0.639,-0.998,1,1,-1,-0.98,0.452,-0.988,1,-0.913,0.287,1
"1642.MS00387",1,1,-0.998,1,1,1,1,1,-0.94,1,0.526,-0.992,-0.984,-0.778,1,-0.934,0,-0.561,1,1,1,-0.972,1,1,-0.024,-0.195,1,0.0309999999999999,-0.96,-0.249,1,1,-1,-0.737,-0.156,-0.996,0.789,-0.992,-0.766,1
"1642.MS00471",1,1,-0.397,1,1,1,1,1,-0.835,1,0.399,-0.97,-1,-0.855,1,-0.271,-0.561,0,1,1,0.996,-0.357,1,1,-0.52,-0.393,1,0.164,0.344,0.177,1,1,-0.225,-1,-0.876,-0.996,1,-0.854,-0.674,1
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
