"","1642.MS00387","1642.MS00581","1642.MS00616","1642.MS00350","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00532","1642.MS00602","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00634","1642.MS00440","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00413","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00583","1642.MS00579","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00410","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00420","1642.MS00615","1642.MS00384","1642.MS00557","1642.MS00471","1001.SKD8","1642.MS00487"
"1642.MS00387",0,0.0292797091425,0.0265635456836,0.0316735683523,0.0790900335184,0.0792238521464,0.0224731254504,0.0234057214247,0.0239320971482,0.0876952126775,0.0810387051412,0.0344312219846,0.0195128767274,0.0768431988707,0.0211979357829,0.0897305041886,0.0207503248264,0.0786952780284,0.0286987805369,0.0268109518014,0.1084418319744,0.0204765644138,0.0812649475927,0.0247232655248,0.0192131352633,0.0872152100164,0.0809684800575,0.0845082368389,0.0930499041346,0.077203439049,0.078675099538,0.0909991045235,0.0508954704407,0.0218817972829,0.0305663182613,0.0190625089483,0.0249560817295,0.0252214969637,0.1481723482922,0.0283275993946
"1642.MS00581",0.0292797091425,0,0.0241421807359,0.048403711185,0.1047427053524,0.0995511833847,0.0217692530482,0.0225507373766,0.0228382111215,0.1117833991231,0.1048041468485,0.0375806224329,0.0257132938311,0.1014198663476,0.0269416822514,0.1126846252908,0.0245985623874,0.1004954372525,0.0213430376812,0.0210294466352,0.1343768057941,0.0279404079107,0.1047392777518,0.0263777399595,0.0254042966551,0.1116869816749,0.0987557498318,0.1106355585305,0.1154970030731,0.0984415813085,0.1052702833594,0.1182138216241,0.06444279496,0.0260537145946,0.0237367388428,0.0277083750506,0.0274243026266,0.0259432626401,0.1707482773964,0.024480968001
"1642.MS00616",0.0265635456836,0.0241421807359,0,0.047537845033,0.0958336445804,0.0916009722417,0.0218201482564,0.0209565447648,0.0245001082285,0.099760876125,0.0959289254956,0.0330189167347,0.0266006704013,0.0926735305584,0.0241508395471,0.1019563841193,0.0245539013799,0.0956401910422,0.0231117289107,0.0224490691503,0.1135695761175,0.0247897858519,0.0988141092742,0.0259642918418,0.0221213338076,0.0990788317058,0.0920693591737,0.0995861161885,0.1001743849612,0.0959275595228,0.0963188381428,0.1026265648164,0.0746633725168,0.0267452654745,0.0262452353313,0.0283360877058,0.0249619317238,0.0262813099866,0.172531785801,0.0245238634881
"1642.MS00350",0.0316735683523,0.048403711185,0.047537845033,0,0.0766498612459,0.0913144493069,0.0390311085823,0.0390182018163,0.0388563018137,0.0842002574408,0.0832668231778,0.0528093316986,0.0307480424907,0.0844288343484,0.0309406404646,0.0858256298346,0.0318915231997,0.0824167280821,0.0481621361428,0.043292336729,0.0976593192992,0.0343687996712,0.0856182011957,0.0388046812811,0.0351520838224,0.0867194838819,0.100133456163,0.0786119874399,0.0916370762234,0.077117962556,0.0814870088068,0.0867229368306,0.0275546385076,0.0323681260664,0.0507059916568,0.0259641380744,0.0414824158187,0.0350277949977,0.1230355854046,0.0430038694072
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.0790900335184,0.1047427053524,0.0958336445804,0.0766498612459,0,0.0390855052875,0.0915098630103,0.101130753191,0.0944722118413,0.0197651406648,0.0544741519891,0.1015107762313,0.0838358994812,0.029341088377,0.0880448826591,0.0217809864024,0.0866885321936,0.0374084053328,0.1129507247093,0.0975839471863,0.028171651549,0.0823530371094,0.0348367845077,0.1064492378104,0.0875235811529,0.0212648990359,0.0413501165933,0.0292030011072,0.0239510118437,0.0241639078292,0.0290589935814,0.0166291356346,0.1073451941946,0.0964050786452,0.1043270834905,0.0801459619695,0.0875599945433,0.0829848731299,0.0881062475189,0.1105035697262
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0792238521464,0.0995511833847,0.0916009722417,0.0913144493069,0.0390855052875,0,0.0882720526954,0.0985899164886,0.0937551384602,0.0403493917875,0.0476999131219,0.0820036063419,0.085951369768,0.0285715607773,0.0857802863745,0.0442368868865,0.0887078076864,0.024165205415,0.1053196735185,0.0956410993837,0.0554558359901,0.0786906831914,0.0322085765273,0.1099592375961,0.0829963433077,0.0396758330838,0.0278230355541,0.048894082034,0.0421917602554,0.0297572496991,0.0333412165825,0.0414559222429,0.1177714357219,0.0946007226912,0.1040087639351,0.0789411112123,0.0841037312594,0.0874669831474,0.1362588419352,0.1050394031752
"1642.MS00532",0.0224731254504,0.0217692530482,0.0218201482564,0.0390311085823,0.0915098630103,0.0882720526954,0,0.0207097712463,0.0205602396371,0.0992429787519,0.0934705914249,0.0318025605429,0.021588033427,0.0894403538768,0.0221777384136,0.101127628497,0.0218222244617,0.0893896576155,0.0223709303541,0.0216163455484,0.1207255038971,0.0210662480577,0.0923651910046,0.024081038051,0.0203685116961,0.0992427731233,0.0934826339078,0.0964747413754,0.1027469635232,0.0885568405823,0.0897074728502,0.1019574448501,0.0614339882959,0.0238980190346,0.0242284647588,0.0220142907622,0.0223053182715,0.0206912948702,0.1597096302658,0.0220629725183
"1642.MS00602",0.0234057214247,0.0225507373766,0.0209565447648,0.0390182018163,0.101130753191,0.0985899164886,0.0207097712463,0,0.0216052495837,0.1086031355712,0.1040803315787,0.0330050753815,0.0234856544173,0.0981076599101,0.0249250977784,0.111371925786,0.0242689306598,0.0992535508046,0.0232274095137,0.0210501794964,0.1293620838953,0.022874345837,0.1032546851134,0.0245693430763,0.0216608864003,0.1065425492386,0.0999197937193,0.1069002879956,0.1120785505389,0.097559223913,0.1003610733363,0.1111793008287,0.0627089083699,0.0263130760223,0.0238603735881,0.0239017283955,0.0265363202672,0.0234980254346,0.1724061115877,0.0235160019449
"1642.MS00539",0.0239320971482,0.0228382111215,0.0245001082285,0.0388563018137,0.0944722118413,0.0937551384602,0.0205602396371,0.0216052495837,0,0.1002425661405,0.0996430023343,0.0343003849218,0.0221213091982,0.0947979123204,0.0235857141053,0.1012082143334,0.021631440781,0.094962498183,0.0231345481507,0.021281003729,0.1161899346722,0.0234896767001,0.0982353310248,0.0235903883823,0.0223503503379,0.099241171975,0.096483174199,0.0976738664892,0.1013751582621,0.0945071886658,0.0952762108497,0.1020056361393,0.0578321243874,0.0233424932514,0.025544530903,0.0224560325878,0.0248143504712,0.0226004929975,0.163675676952,0.0224685546634
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.0876952126775,0.1117833991231,0.099760876125,0.0842002574408,0.0197651406648,0.0403493917875,0.0992429787519,0.1086031355712,0.1002425661405,0,0.0689974034142,0.1128519702366,0.0912647168,0.0329958658086,0.0953097983781,0.0199087205244,0.0945873426308,0.0335411936805,0.1186888031685,0.1049404913329,0.0273113047591,0.0917663040287,0.0308186641579,0.111186772221,0.0950523339472,0.0183736408373,0.0497549713972,0.0330435853539,0.0214859612263,0.0176988459239,0.0237876340137,0.0185670036889,0.1141796574759,0.103108049029,0.1108889142244,0.0881512661326,0.0954294017525,0.0918518451725,0.081831236635,0.1163345116014
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0810387051412,0.1048041468485,0.0959289254956,0.0832668231778,0.0544741519891,0.0476999131219,0.0934705914249,0.1040803315787,0.0996430023343,0.0689974034142,0,0.0947142412723,0.0897111471922,0.0523253850067,0.085926025936,0.0543084163577,0.0882159276946,0.0505020579434,0.1120421512003,0.0993939044125,0.0775944491545,0.0821883384918,0.0476903402551,0.1077180534652,0.0882168446593,0.0721965451831,0.0520166903326,0.0350911880762,0.0768935649029,0.0570890329887,0.0591862911808,0.0652971265374,0.1070775228697,0.095281374471,0.1085961084653,0.0754769936951,0.0900161692706,0.0880751824238,0.1368946759404,0.1139393368636
"1642.MS00634",0.0344312219846,0.0375806224329,0.0330189167347,0.0528093316986,0.1015107762313,0.0820036063419,0.0318025605429,0.0330050753815,0.0343003849218,0.1128519702366,0.0947142412723,0,0.0349054420772,0.0877212211302,0.0334585539836,0.11246241553,0.0339313891753,0.0886382853722,0.0387685431126,0.0334193155499,0.1310028657913,0.0325479608889,0.0968637329561,0.0421092306964,0.0324196853063,0.10863937784,0.0817259730389,0.1073511018564,0.1107108997621,0.0970764540253,0.0969314052799,0.1161252372193,0.0713773263265,0.0398023365782,0.037235305774,0.0344770798474,0.0288840383734,0.0371992571615,0.1783703456732,0.035613558513
"1642.MS00440",0.0195128767274,0.0257132938311,0.0266006704013,0.0307480424907,0.0838358994812,0.085951369768,0.021588033427,0.0234856544173,0.0221213091982,0.0912647168,0.0897111471922,0.0349054420772,0,0.0819110707518,0.0221855360346,0.0942034561645,0.0190154350204,0.0845611372881,0.0254253155695,0.0234967351268,0.113575511506,0.0219030914731,0.0880412110044,0.0217135940572,0.0197431933978,0.0920914492926,0.0874740917271,0.0869262093762,0.0976246119417,0.0839972787913,0.0853055976539,0.0940272024685,0.0479593497633,0.0212197670539,0.0267577887328,0.018008578036,0.0251651549151,0.0210264011432,0.1467622905385,0.0221450173848
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.0768431988707,0.1014198663476,0.0926735305584,0.0844288343484,0.029341088377,0.0285715607773,0.0894403538768,0.0981076599101,0.0947979123204,0.0329958658086,0.0523253850067,0.0877212211302,0.0819110707518,0,0.0862030301211,0.0425243092536,0.0878953748821,0.0279583039985,0.1067895957837,0.0962987829972,0.053953164619,0.0792263162147,0.0297923459442,0.103865049378,0.0838959664476,0.0354190450827,0.0290143605955,0.046602863797,0.041431838452,0.0285573464005,0.030235111,0.0361452419941,0.1169695048374,0.092105171058,0.1052224084082,0.076696866513,0.0848491268489,0.0868528635105,0.1055580368675,0.1099317671034
