"","1642.MS00387","1642.MS00581","1642.MS00616","1642.MS00350","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00532","1642.MS00602","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00634","1642.MS00440","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00413","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00583","1642.MS00579","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00410","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00420","1642.MS00615","1642.MS00384","1642.MS00557","1642.MS00471","1001.SKD8","1642.MS00487"
"1642.MS00387",NA,-2.28119832400702,-0.0783950037446248,-2.58512586713648,0.674526160297923,3.67717183519925,-2.86705587847733,-2.29186591255336,-2.74994605364685,0.70780073942691,6.31647386372606,-2.40646310498108,-4.91666931902602,3.5527379991063,-3.83725172407469,-0.823167453212514,-4.41107946358197,3.56132435903432,-2.45485243537363,-2.27425847883084,-0.109590538092879,-3.82664068564073,3.48866104910475,-3.20932953086207,-4.49589391079355,0.022427921547127,2.68325565337468,0.450388076978182,-0.115445273882189,1.37451547919638,2.21949826142251,0.103536533047476,-3.23809334405731,-4.3102301016438,-0.924865452258388,-4.39263066823405,-3.24949949301657,-2.68270451644057,0.326430774433705,-0.287443197586962
"1642.MS00581",-2.28119832400702,NA,-2.77575234880267,-1.41255703691902,4.13868309042994,8.37246657584633,-4.51160743853134,-3.35636028188687,-4.14165479849267,3.28990908609737,11.1827244563842,-1.24191736967796,-2.68619529689426,9.11880598413837,-3.40609375038883,0.853987561476015,-2.94554072218605,9.25284801754191,-3.25045483647762,-4.35173874569074,1.30916787725808,-2.4781117034169,8.17402971765171,-3.54391033737293,-3.95040865338348,1.45695356174477,7.31298629807037,3.28714045513099,1.36587502924375,1.63543456688076,6.47417501031613,2.50054596113303,-2.55400482418873,-4.56294447561085,-2.38169573907583,-2.62406374500807,-1.8483642687716,-2.14431475761521,2.18993331363933,-1.01210131776806
"1642.MS00616",-0.0783950037446248,-2.77575234880267,NA,-0.596533228587697,3.4836834710906,8.37579006085083,-3.83712055563391,-2.72072639999392,-2.35734249211446,2.16415751352528,11.1560707116394,-1.25954608500222,-1.68372912189645,8.91553744203909,-3.23239134570431,0.267268553603142,-3.29408697233423,10.3177357672213,-3.27696807961905,-3.48499671219141,0.0772792711590355,-1.73438676012434,8.75439365831416,-2.91708525891601,-3.27772391911712,0.523529623249992,6.9223864315244,2.28037386887243,0.491989323471282,1.8573853356173,6.29401550517827,1.30986629910824,-1.03220214188698,-2.25666371270221,-2.06635023638229,-1.6593453573961,-2.10406840721492,-2.39609857382011,2.10233375763377,-1.78745423654732
"1642.MS00350",-2.58512586713648,-1.41255703691902,-0.596533228587697,NA,-1.76106546763487,0.971346375749944,-2.2013636604893,-2.2281328752463,-2.39016089738595,-1.73063795457053,1.04932037010659,-1.57149296050927,-3.08826199622077,0.198018121350506,-3.00040339146551,-2.35297690468668,-2.73748199749675,-0.274540307183733,-1.39426815980122,-1.97840547681772,-1.43577106729949,-2.59898333256778,-0.418849302872463,-1.36812755371613,-2.53743149682805,-1.82482803528774,1.83707909412951,-1.81540188659433,-1.3889936117167,-1.80251101375514,-1.48429307572336,-1.84843013000364,-4.14415319477814,-1.70535962283786,-0.723178005541046,-3.71257561555105,-2.22775090929454,-2.61710613085006,-2.00002963819813,-1.52759195717963
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",0.674526160297923,4.13868309042994,3.4836834710906,-1.76106546763487,NA,-5.3667888456957,2.9433078365206,4.82415886737108,2.96177920702116,-7.29832092909415,-5.44988838789528,2.29607762148975,1.23941338291806,-7.8115572566744,1.82401837492958,-6.63419632384163,2.29514540586454,-5.9030436358979,5.32587118139156,3.53243798547631,-5.22361232112523,0.932835354040446,-7.02624126474418,4.08784861786845,1.30200328359819,-7.08049553562765,-4.6723797420238,-5.17424550777814,-6.64551894411495,-7.47523031193362,-7.97646740523782,-8.20660826768792,-0.0372920414132576,3.04848042971473,4.52281017589043,0.537858256756404,1.84133419077424,1.38107709877065,-4.03221722981069,4.3253810581022
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",3.67717183519925,8.37246657584633,8.37579006085083,0.971346375749944,-5.3667888456957,NA,5.50579705031168,6.36075520288164,4.93015109763605,-2.56676999137171,-5.85643662203056,2.35243050717466,2.72060001442331,-7.96763943673854,3.1234546610316,-5.29281151364687,1.3419755861011,-6.34316515356693,10.5678282796412,5.21546555094631,-3.51337564930206,4.40820069745926,-2.73850996098245,6.98355881377135,2.46270903884786,-4.47489482030147,-5.43669734891819,-3.50525470321382,-5.37605475465302,-4.35143988436722,-5.672266749132,-5.77759929054089,1.84061706998563,4.39482501970243,10.0221524066016,0.228593725527185,3.15929370310145,1.42189134285153,-0.917817066952982,5.65073538044346
"1642.MS00532",-2.86705587847733,-4.51160743853134,-3.83712055563391,-2.2013636604893,2.9433078365206,5.50579705031168,NA,-4.39449421001814,-4.80153660520234,2.12029687320377,9.24561994284166,-3.34167635474561,-3.75074433860121,6.97111084374816,-4.68208208077815,0.0160776606396857,-4.07953535518888,6.31447320378451,-4.04686110722895,-4.08626425538619,0.536827063937481,-3.58541124816642,6.17414157104559,-3.84104561412821,-4.64684689406979,0.424559926809686,5.88754776438308,1.79966253765456,0.532277425560879,0.890468264475324,4.24505526180955,1.08683979663987,-2.4846951316331,-3.53126367205548,-3.05790451368213,-4.55089278284301,-4.72830101642731,-4.23286422495149,1.30312349364234,-3.55073569081642
"1642.MS00602",-2.29186591255336,-3.35636028188687,-2.72072639999392,-2.2281328752463,4.82415886737108,6.36075520288164,-4.39449421001814,NA,-3.66744510015137,3.95180784756015,13.1107676082163,-1.69198062003216,-2.62861795751202,10.9945516409206,-2.43051763787059,1.55399462323482,-2.87584255400127,11.0749932546465,-2.92969836953542,-4.54039210783808,1.2110046647534,-3.15701469616185,10.0372918532499,-4.24454716199047,-4.04130358478806,2.48330871159867,8.84669293806053,3.43904037918489,1.87275011128865,6.97786307454533,8.00317991441366,2.60423392419,-2.54870450497017,-2.9219630906863,-2.91745793821604,-3.89445788466891,-1.19563482725181,-4.00892075226349,2.12888842970508,-2.15391203219043
"1642.MS00539",-2.74994605364685,-4.14165479849267,-2.35734249211446,-2.39016089738595,2.96177920702116,4.93015109763605,-4.80153660520234,-3.66744510015137,NA,1.87977329974189,9.95289079351759,-2.37367475559985,-3.58343172968629,9.08147592535747,-3.84800300328604,0.0580044544156802,-5.0585855826779,8.86012372875101,-3.95022979336232,-5.42460728952252,0.213049104236985,-3.09644541947352,8.29879906262082,-4.89352927150204,-3.99217748732546,0.326037174095996,6.60110419047769,2.06329467775432,0.428027009736496,1.27350694637995,4.62001804301381,0.971941944977143,-3.01383618723945,-4.27172508047327,-2.34580181987505,-4.47642014854099,-2.68529811786175,-3.91353255836516,1.51201250673568,-4.63919913779062
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.70780073942691,3.28990908609737,2.16415751352528,-1.73063795457053,-7.29832092909415,-2.56676999137171,2.12029687320377,3.95180784756015,1.87977329974189,NA,-2.95618228662352,2.55447887808412,0.811556875928975,-4.31295923210713,0.940251180612256,-7.31735597715081,0.298981200029378,-3.89279857646897,4.02985594631422,2.00274001883281,-3.93867777402871,1.25642103227718,-4.53478884045086,2.7411726531567,1.16276962233371,-5.91368571157727,-3.62663763445289,-4.52772284831191,-6.0255980333534,-6.70402703478309,-7.44610423192628,-6.71229046726681,-0.360749083180189,2.42055908969619,3.39498676988467,-0.415014587414659,0.957329235905589,0.1767808243559,-3.94183324509237,3.1221915806123
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",6.31647386372606,11.1827244563842,11.1560707116394,1.04932037010659,-5.44988838789528,-5.85643662203056,9.24561994284166,13.1107676082163,9.95289079351759,-2.95618228662352,NA,5.76266568037921,8.62515602466951,-5.84234168247164,5.43151501627181,-4.04477114924864,8.15065789295429,-7.28930080552243,12.8913555094507,9.57840208096475,-1.82012764535679,6.0820060357068,-7.81053520823171,9.42826869896162,7.13314458433149,-2.57592587385487,-5.53024757090685,-3.77288010328657,-1.95685954858509,-2.96241145061983,-4.47960288943456,-3.4034812857937,0.180610620246426,6.54454819735289,11.431283968443,4.2130758451817,7.68449153849974,7.75224816819474,-1.29330622510193,10.6074326698896
"1642.MS00634",-2.40646310498108,-1.24191736967796,-1.25954608500222,-1.57149296050927,2.29607762148975,2.35243050717466,-3.34167635474561,-1.69198062003216,-2.37367475559985,2.55447887808412,5.76266568037921,NA,-3.46286511129637,3.62301674292084,-2.49176946409232,0.654016790929844,-2.83985306598325,3.67863949089985,-1.09652645846508,-2.35557737790616,0.81233319837835,-2.80071435412907,3.85434566616622,-1.69963779662278,-3.42375124078409,0.752654874691266,1.61278731213729,1.94033782510495,0.913633414643061,0.800186077780373,2.74294208902266,1.84103792771744,-2.89566232585191,-2.54609023975751,-1.32062697721009,-3.35870330201994,-2.23579910673015,-2.44095823411237,2.28557818457469,-3.22817157874712
"1642.MS00440",-4.91666931902602,-2.68619529689426,-1.68372912189645,-3.08826199622077,1.23941338291806,2.72060001442331,-3.75074433860121,-2.62861795751202,-3.58343172968629,0.811556875928975,8.62515602466951,-3.46286511129637,NA,3.63256662416195,-4.02146253338046,-0.781192468286768,-4.75785912302594,4.10072350260302,-2.67923163104613,-3.39934619315245,0.0191900776182629,-3.90464415366902,4.09931050812974,-4.11758714472464,-6.0255916951091,-0.45910640801176,3.53435370738008,0.695325142414816,-0.133193248820796,0.205724158006654,2.05776409100697,0.0485231405222233,-2.94691058213078,-4.39688512866166,-2.02499250531129,-6.04984445544123,-3.75403362954028,-5.08065526264168,0.269465994730995,-3.82856656237219
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",3.5527379991063,9.11880598413837,8.91553744203909,0.198018121350506,-7.8115572566744,-7.96763943673854,6.97111084374816,10.9945516409206,9.08147592535747,-4.31295923210713,-5.84234168247164,3.62301674292084,3.63256662416195,NA,3.31632817094621,-6.82908258868784,1.70377922875073,-8.74957162660526,10.9415924937899,5.4467270139582,-5.24827212247045,4.85414774345447,-8.10003692653478,8.92342295299529,5.40367842305287,-7.28755050852577,-6.50147678570154,-4.99710848951315,-5.9615642011713,-8.05257964764611,-6.85321052448253,-6.47712988620682,0.92557696577806,6.2798883694138,10.8073596796803,0.287280511910965,3.06842663041663,1.95101872306633,-2.67798112291971,8.93951789993371
"1642.MS00413",-3.83725172407469,-3.40609375038883,-3.23239134570431,-3.00040339146551,1.82401837492958,3.1234546610316,-4.68208208077815,-2.43051763787059,-3.84800300328604,0.940251180612256,5.43151501627181,-2.49176946409232,-4.02146253338046,3.31632817094621,NA,-0.59869045901436,-5.36877346623541,3.81309437840111,-3.73651375952312,-3.14096151431547,0.437273844611117,-4.92889094015741,2.88637008204336,-3.62492126376521,-4.98385424652426,-0.268107783026865,3.56627094872102,1.06004163022263,0.027440501657568,0.118208510436793,1.80551390607079,0.27105025078692,-3.47559873495076,-6.09936799771874,-1.70369121014857,-5.57943976969272,-3.64840117331388,-5.78262830679241,0.621443276315952,-3.65445145871789
"2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences",-0.823167453212514,0.853987561476015,0.267268553603142,-2.35297690468668,-6.63419632384163,-5.29281151364687,0.0160776606396857,1.55399462323482,0.0580044544156802,-7.31735597715081,-4.04477114924864,0.654016790929844,-0.781192468286768,-6.82908258868784,-0.59869045901436,NA,-0.845340035982934,-4.55084347636508,1.77149714584359,0.338519353749065,-6.5895550720342,-0.575654171081041,-4.85388090332209,1.15186047450589,-0.436350190449751,-5.98402843596587,-3.61461228380036,-5.1278951712268,-4.98249605247851,-6.76024961927142,-7.78157415926739,-6.59554486865126,-1.36015432591554,0.460659052389475,1.35247715359192,-1.58125635166126,-0.557194002208286,-0.981035871723595,-4.21063171001709,1.71654508225009
"1642.MS00438",-4.41107946358197,-2.94554072218605,-3.29408697233423,-2.73748199749675,2.29514540586454,1.3419755861011,-4.07953535518888,-2.87584255400127,-5.0585855826779,0.298981200029378,8.15065789295429,-2.83985306598325,-4.75785912302594,1.70377922875073,-5.36877346623541,-0.845340035982934,NA,1.85086065518364,-3.58133344014741,-4.48061343296383,-0.0374304812460552,-3.01023728496949,1.38492095807185,-5.39106813826948,-5.89109323381985,-0.322298993016096,2.77457887957221,1.12425149928524,-0.105201647348952,-0.225179950350407,0.64821538225931,-0.0653812434335531,-2.9743310488492,-5.48182644492246,-2.65725833924992,-5.48623522483344,-3.71772369358735,-4.02177668474135,0.0270762188562661,-1.45156110639599
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",3.56132435903432,9.25284801754191,10.3177357672213,-0.274540307183733,-5.9030436358979,-6.34316515356693,6.31447320378451,11.0749932546465,8.86012372875101,-3.89279857646897,-7.28930080552243,3.67863949089985,4.10072350260302,-8.74957162660526,3.81309437840111,-4.55084347636508,1.85086065518364,NA,12.2314709989954,5.69785032980435,-2.87474694427179,4.8407609211254,-7.89521567875918,10.0380427388414,5.55215844082275,-3.9678624024334,-7.01162612815877,-4.75875081231684,-3.83854034342743,-5.4064966342909,-6.6300424378481,-4.08628431117702,0.433926428262672,7.57218703062023,10.9380866176017,-0.0833544625507537,3.95555033536523,1.56127458458173,-1.74101493213936,10.4212199277056
"1642.MS00583",-2.45485243537363,-3.25045483647762,-3.27696807961905,-1.39426815980122,5.32587118139156,10.5678282796412,-4.04686110722895,-2.92969836953542,-3.95022979336232,4.02985594631422,12.8913555094507,-1.09652645846508,-2.67923163104613,10.9415924937899,-3.73651375952312,1.77149714584359,-3.58133344014741,12.2314709989954,NA,-5.41528680158679,1.58416786856798,-1.43015245431349,10.462153326553,-4.82494529364338,-4.11502989065392,1.82251690261655,9.14690934366547,4.38374676912825,2.06280058011643,2.34659989580727,7.46864799744473,2.98894228395087,-2.20100383665332,-4.15699919626616,-2.53598690995995,-2.50005612283181,-2.72429265751902,-3.54892336075059,2.47431176735285,-2.73084484780542
"1642.MS00579",-2.27425847883084,-4.35173874569074,-3.48499671219141,-1.97840547681772,3.53243798547631,5.21546555094631,-4.08626425538619,-4.54039210783808,-5.42460728952252,2.00274001883281,9.57840208096475,-2.35557737790616,-3.39934619315245,5.4467270139582,-3.14096151431547,0.338519353749065,-4.48061343296383,5.69785032980435,-5.41528680158679,NA,0.723518818112051,-3.00788728668496,4.92067962739869,-4.58759740699232,-3.80558540724733,0.701127413855659,5.3026482495581,2.00295388396788,0.572881378916436,1.10484177693713,3.64263740408348,1.21559226277039,-2.32282252175111,-4.00807560006221,-2.72597246167214,-3.89664762066556,-3.73080630538409,-3.23516686048931,1.13059583926521,-3.65477101053883
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",-0.109590538092879,1.30916787725808,0.0772792711590355,-1.43577106729949,-5.22361232112523,-3.51337564930206,0.536827063937481,1.2110046647534,0.213049104236985,-3.93867777402871,-1.82012764535679,0.81233319837835,0.0191900776182629,-5.24827212247045,0.437273844611117,-6.5895550720342,-0.0374304812460552,-2.87474694427179,1.58416786856798,0.723518818112051,NA,0.103118680588946,-2.81731199655348,1.00169608089119,0.236432326006629,-5.75059541624844,-2.37219826096391,-4.88240492049379,-5.05535176019437,-5.88899872103439,-6.24293593314862,-5.16444336723442,-0.336041603181923,0.84648029290617,0.782086711994185,-0.760017343516837,0.131570183722913,-0.154880229238295,-3.39858883145842,1.47995974038432
