#OTU-ID	Description	Env	SourceSink	Study	Details
A140	Free-living	Aerosol-non-saline	source	EMP	EMP
A157	Free-living	Aerosol-non-saline	source	EMP	EMP
A261	Free-living	Aerosol-non-saline	source	EMP	EMP
A465	Free-living	Aerosol-non-saline	source	EMP	EMP
A512	Free-living	Aerosol-non-saline	source	EMP	EMP
A549	Free-living	Aerosol-non-saline	source	EMP	EMP
A585	Free-living	Aerosol-non-saline	source	EMP	EMP
A1098	Free-living	Aerosol-non-saline	source	EMP	EMP
A1264	Free-living	Aerosol-non-saline	source	EMP	EMP
A1328	Free-living	Aerosol-non-saline	source	EMP	EMP
A1376	Free-living	Aerosol-non-saline	source	EMP	EMP
A1600	Free-living	Aerosol-non-saline	source	EMP	EMP
A1651	Free-living	Aerosol-non-saline	source	EMP	EMP
A1653	Free-living	Aerosol-non-saline	source	EMP	EMP
A1813	Free-living	Aerosol-non-saline	source	EMP	EMP
A1922	Free-living	Aerosol-non-saline	source	EMP	EMP
A2124	Free-living	Aerosol-non-saline	source	EMP	EMP
A2163	Free-living	Aerosol-non-saline	source	EMP	EMP
A2331	Free-living	Aerosol-non-saline	source	EMP	EMP
A2405	Free-living	Aerosol-non-saline	source	EMP	EMP
A2430	Free-living	Aerosol-non-saline	source	EMP	EMP
A2663	Free-living	Aerosol-non-saline	source	EMP	EMP
A2757	Free-living	Aerosol-non-saline	source	EMP	EMP
A2935	Free-living	Aerosol-non-saline	source	EMP	EMP
A2954	Free-living	Aerosol-non-saline	source	EMP	EMP
A2991	Free-living	Aerosol-non-saline	source	EMP	EMP
A3033	Free-living	Aerosol-non-saline	source	EMP	EMP
A3048	Free-living	Aerosol-non-saline	source	EMP	EMP
A3325	Free-living	Aerosol-non-saline	source	EMP	EMP
A3429	Free-living	Aerosol-non-saline	source	EMP	EMP
A3543	Free-living	Aerosol-non-saline	source	EMP	EMP
A3741	Free-living	Aerosol-non-saline	source	EMP	EMP
A3785	Free-living	Aerosol-non-saline	source	EMP	EMP
A3788	Free-living	Aerosol-non-saline	source	EMP	EMP
A4083	Free-living	Aerosol-non-saline	source	EMP	EMP
A4186	Free-living	Aerosol-non-saline	source	EMP	EMP
A4528	Free-living	Aerosol-non-saline	source	EMP	EMP
A4583	Free-living	Aerosol-non-saline	source	EMP	EMP
A4607	Free-living	Aerosol-non-saline	source	EMP	EMP
A4692	Free-living	Aerosol-non-saline	source	EMP	EMP
A4723	Free-living	Aerosol-non-saline	source	EMP	EMP
A4892	Free-living	Aerosol-non-saline	source	EMP	EMP
A4988	Free-living	Aerosol-non-saline	source	EMP	EMP
A5053	Free-living	Aerosol-non-saline	source	EMP	EMP
A5180	Free-living	Aerosol-non-saline	source	EMP	EMP
A5242	Free-living	Aerosol-non-saline	source	EMP	EMP
A5491	Free-living	Aerosol-non-saline	source	EMP	EMP
A5501	Free-living	Aerosol-non-saline	source	EMP	EMP
A5770	Free-living	Aerosol-non-saline	source	EMP	EMP
A6207	Free-living	Aerosol-non-saline	source	EMP	EMP
A6232	Free-living	Aerosol-non-saline	source	EMP	EMP
A6244	Free-living	Aerosol-non-saline	source	EMP	EMP
A6393	Free-living	Aerosol-non-saline	source	EMP	EMP
A6409	Free-living	Aerosol-non-saline	source	EMP	EMP
A6473	Free-living	Aerosol-non-saline	source	EMP	EMP
A6515	Free-living	Aerosol-non-saline	source	EMP	EMP
A6643	Free-living	Aerosol-non-saline	source	EMP	EMP
A6762	Free-living	Aerosol-non-saline	source	EMP	EMP
A6861	Free-living	Aerosol-non-saline	source	EMP	EMP
A6906	Free-living	Aerosol-non-saline	source	EMP	EMP
A6940	Free-living	Aerosol-non-saline	source	EMP	EMP
A6959	Free-living	Aerosol-non-saline	source	EMP	EMP
A7077	Free-living	Aerosol-non-saline	source	EMP	EMP
A7704	Free-living	Aerosol-non-saline	source	EMP	EMP
A7857	Free-living	Aerosol-non-saline	source	EMP	EMP
A8181	Free-living	Aerosol-non-saline	source	EMP	EMP
A8197	Free-living	Aerosol-non-saline	source	EMP	EMP
A8243	Free-living	Aerosol-non-saline	source	EMP	EMP
A8902	Free-living	Aerosol-non-saline	source	EMP	EMP
A8998	Free-living	Aerosol-non-saline	source	EMP	EMP
A9114	Free-living	Aerosol-non-saline	source	EMP	EMP
A9128	Free-living	Aerosol-non-saline	source	EMP	EMP
A9139	Free-living	Aerosol-non-saline	source	EMP	EMP
A9226	Free-living	Aerosol-non-saline	source	EMP	EMP
A9388	Free-living	Aerosol-non-saline	source	EMP	EMP
