"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A49"	0.0151	0.0059	0.0251	0.0285	0.0089	0.0048	0.0082	0.0426	0.0131	0.5999	0.0264	0.1262	0.0092	0.0114	0.0193	0.0057	0.0497
"A59"	0.0122	0.015	0.0267	0.0234	0.0106	0.0111	0.0106	0.0035	0.01	0.6052	0.0307	0.1528	0.0125	0.0101	0.0234	0.0097	0.0325
"A64"	0.0134	0.0866	0.0043	0.0038	0.0132	0.0405	0.0085	0.0045	0.277	0.0185	0.0799	0.2562	0.025	0.0683	0.0601	0.0369	0.0033
"A98"	0.0135	0.0621	0.0045	0.0031	0.016	0.076	0.0097	0.0093	0.2196	0.0254	0.0721	0.3074	0.0329	0.0547	0.0627	0.0281	0.0029
"A99"	0.0142	0.1018	0.0063	0.0048	0.0157	0.0652	0.009	0.0076	0.1655	0.014	0.069	0.3766	0.0154	0.0551	0.0429	0.0337	0.0032
"A122"	0.012	0.0246	0.0042	0.0041	0.0099	0.0202	0.0089	0.0097	0.0801	0.0463	0.0533	0.4119	0.0326	0.0596	0.1946	0.0207	0.0073
"A124"	0.0124	0.0452	0.0056	0.0028	0.0089	0.0256	0.007	0.0141	0.1741	0.029	0.0968	0.3903	0.0237	0.0672	0.0437	0.0453	0.0083
"A126"	0.0201	0.0437	0.0054	0.0033	0.0135	0.038	0.0121	0.0471	0.112	0.0253	0.0927	0.3638	0.0215	0.0778	0.0775	0.0356	0.0106
"A132"	0.0228	0.0063	0.0359	0.0293	0.0055	0.0048	0.0085	0.0854	0.0122	0.5578	0.02	0.1253	0.0099	0.0106	0.0293	0.0085	0.0279
"A144"	0.0095	0.0143	0.0035	0.0023	0.0066	0.0105	0.0066	0.0062	0.0561	0.0785	0.0425	0.6372	0.0109	0.0302	0.0413	0.0096	0.0342
"A183"	0.0172	0.0048	0.1103	0.0852	0.008	0.007	0.0094	0.0103	0.0056	0.4668	0.0324	0.1368	0.0092	0.0094	0.0227	0.0056	0.0593
"A193"	0.0234	0.0093	0.0392	0.0272	0.0104	0.0093	0.0098	0.0159	0.0083	0.54	0.0243	0.1857	0.0173	0.0123	0.0293	0.0055	0.0328
"A212"	0.0293	0.0144	0.0238	0.0147	0.0129	0.0125	0.0122	0.0771	0.015	0.2623	0.0271	0.2697	0.0105	0.0217	0.167	0.0113	0.0185
"A242"	0.0088	0.0068	0.0153	0.0122	0.0086	0.0055	0.009	0.0034	0.0052	0.5952	0.0204	0.2142	0.0072	0.0101	0.0187	0.0045	0.0549
"A279"	0.0171	0.0556	0.0045	0.0036	0.0114	0.0397	0.0103	0.0115	0.1248	0.0367	0.1185	0.338	0.0246	0.0635	0.0905	0.0382	0.0115
"A285"	0.0154	0.0075	0.0178	0.0157	0.0055	0.0078	0.0088	0.0136	0.0119	0.4857	0.0274	0.2845	0.0099	0.012	0.0282	0.0066	0.0417
"A298"	0.0124	0.0346	0.0053	0.0036	0.0091	0.0329	0.0088	0.0047	0.1753	0.0344	0.1665	0.3313	0.0212	0.0733	0.0479	0.0316	0.0071
"A326"	0.0332	0.0096	0.0321	0.0258	0.0084	0.0099	0.0082	0.3209	0.0159	0.1611	0.0356	0.1356	0.0098	0.0181	0.142	0.0131	0.0207
